country	continent	year	lifeExp	pop	gdpPercap
Australia	Oceania	2007	81.235	20434176	34435.37
New Zealand	Oceania	2007	80.204	4115771	25185.01
Australia	Oceania	2002	80.37	19546792	30687.75
New Zealand	Oceania	2002	79.11	3908037	23189.8
Australia	Oceania	1997	78.83	18565243	26997.94
New Zealand	Oceania	1997	77.55	3676187	21050.41
Australia	Oceania	1992	77.56	17481977	23424.77
New Zealand	Oceania	1992	76.33	3437674	18363.32
Australia	Oceania	1987	76.32	16257249	21888.89
New Zealand	Oceania	1987	74.32	3317166	19007.19
Australia	Oceania	1982	74.74	15184200	19477.01
New Zealand	Oceania	1982	73.84	3210650	17632.41
Australia	Oceania	1977	73.49	14074100	18334.2
New Zealand	Oceania	1977	72.22	3164900	16233.72
Australia	Oceania	1972	71.93	13177000	16788.63
New Zealand	Oceania	1972	71.89	2929100	16046.04
Australia	Oceania	1967	71.1	11872264	14526.12
New Zealand	Oceania	1967	71.52	2728150	14463.92
Australia	Oceania	1962	70.93	10794968	12217.23
New Zealand	Oceania	1962	71.24	2488550	13175.68
Australia	Oceania	1957	70.33	9712569	10949.65
New Zealand	Oceania	1957	70.26	2229407	12247.4
Australia	Oceania	1952	69.12	8691212	10039.6
New Zealand	Oceania	1952	69.39	1994794	10556.58
